"photoUploadID","companyID","projectID","projectSiteID","projectSiteTaskID","pictureType","dateTaken","latitude","longitude","accuracy","uri","companyStaffID","thumbFlag","dateUploaded"
417,24,46,1933,NULL,1,"2014-11-30 10:32:16",-25.7605403,27.8526422,NULL,"monitor_images/company24/project46/projectsite1933/f1417336339171.jpg",NULL,NULL,"2014-11-30 10:32:57"
418,24,46,1933,NULL,1,"2014-11-30 10:32:57",-25.7605407,27.8526417,NULL,"monitor_images/company24/project46/projectsite1933/t1417336378840.jpg",NULL,1,"2014-11-30 10:32:59"
419,24,46,1933,NULL,1,"2014-11-30 10:32:58",-25.7605407,27.8526417,NULL,"monitor_images/company24/project46/projectsite1933/f1417336379276.jpg",NULL,NULL,"2014-11-30 10:32:59"
420,24,46,1933,NULL,1,"2014-11-30 10:32:58",-25.7605407,27.8526417,NULL,"monitor_images/company24/project46/projectsite1933/f1417336380193.jpg",NULL,NULL,"2014-11-30 10:33:00"
421,24,46,1906,NULL,1,"2014-11-30 10:35:23",-25.76054,27.8526426,NULL,"monitor_images/company24/project46/projectsite1906/t1417336524440.jpg",NULL,1,"2014-11-30 10:35:24"
422,24,46,1906,NULL,1,"2014-11-30 10:35:23",-25.76054,27.8526426,NULL,"monitor_images/company24/project46/projectsite1906/f1417336525049.jpg",NULL,NULL,"2014-11-30 10:35:25"
423,24,46,1906,NULL,1,"2014-11-30 10:35:46",-25.7605406,27.8526421,NULL,"monitor_images/company24/project46/projectsite1906/t1417336547395.jpg",NULL,1,"2014-11-30 10:35:49"
424,24,46,1906,NULL,1,"2014-11-30 10:35:46",-25.7605406,27.8526421,NULL,"monitor_images/company24/project46/projectsite1906/f1417336550104.jpg",NULL,NULL,"2014-11-30 10:35:51"
425,24,46,1906,NULL,1,"2014-11-30 10:36:08",-25.7605406,27.8526421,NULL,"monitor_images/company24/project46/projectsite1906/t1417336569873.jpg",NULL,1,"2014-11-30 10:36:10"
426,24,46,1906,NULL,1,"2014-11-30 10:36:08",-25.7605406,27.8526421,NULL,"monitor_images/company24/project46/projectsite1906/f1417336570276.jpg",NULL,NULL,"2014-11-30 10:36:11"
427,24,46,1865,NULL,1,"2014-11-30 11:39:40",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/t1417340381270.jpg",NULL,1,"2014-11-30 11:39:41"
428,24,46,1865,NULL,1,"2014-11-30 11:39:40",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/f1417340381512.jpg",NULL,NULL,"2014-11-30 11:39:41"
429,24,46,1865,NULL,1,"2014-11-30 11:40:00",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/t1417340401946.jpg",NULL,1,"2014-11-30 11:40:02"
430,24,46,1865,NULL,1,"2014-11-30 11:40:00",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/f1417340402713.jpg",NULL,NULL,"2014-11-30 11:40:03"
431,24,46,1865,NULL,1,"2014-11-30 11:40:16",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/t1417340417979.jpg",NULL,1,"2014-11-30 11:40:18"
432,24,46,1865,NULL,1,"2014-11-30 11:40:16",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/f1417340418640.jpg",NULL,NULL,"2014-11-30 11:40:21"
433,24,46,1865,NULL,1,"2014-11-30 11:40:34",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/t1417340435354.jpg",NULL,1,"2014-11-30 11:40:35"
434,24,46,1865,NULL,1,"2014-11-30 11:40:34",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/f1417340435864.jpg",NULL,NULL,"2014-11-30 11:40:37"
435,24,46,1865,NULL,1,"2014-11-30 11:40:47",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/t1417340448205.jpg",NULL,1,"2014-11-30 11:40:48"
436,24,46,1865,NULL,1,"2014-11-30 11:40:47",-25.7605387,27.8526453,NULL,"monitor_images/company24/project46/projectsite1865/f1417340448562.jpg",NULL,NULL,"2014-11-30 11:40:48"
437,24,46,1865,NULL,1,"2014-11-30 11:41:08",-25.7605407,27.8526424,NULL,"monitor_images/company24/project46/projectsite1865/t1417340618909.jpg",NULL,1,"2014-11-30 11:43:38"
438,24,46,1865,NULL,1,"2014-11-30 11:41:08",-25.7605407,27.8526424,NULL,"monitor_images/company24/project46/projectsite1865/t1417340619177.jpg",NULL,1,"2014-11-30 11:43:39"
439,24,46,1865,NULL,1,"2014-11-30 11:41:08",-25.7605407,27.8526424,NULL,"monitor_images/company24/project46/projectsite1865/t1417340619444.jpg",NULL,1,"2014-11-30 11:43:39"
440,24,46,1865,NULL,1,"2014-11-30 11:41:08",-25.7605407,27.8526424,NULL,"monitor_images/company24/project46/projectsite1865/f1417385318637.jpg",NULL,NULL,"2014-12-01 00:08:38"
441,24,46,1884,NULL,1,"2014-12-01 00:08:51",-25.7605394,27.8526461,NULL,"monitor_images/company24/project46/projectsite1884/t1417385332964.jpg",NULL,1,"2014-12-01 00:08:52"
442,24,46,1884,NULL,1,"2014-12-01 00:08:51",-25.7605394,27.8526461,NULL,"monitor_images/company24/project46/projectsite1884/f1417385333163.jpg",NULL,NULL,"2014-12-01 00:08:53"
443,24,46,1864,NULL,1,"2014-12-01 00:09:26",-25.7605394,27.8526461,NULL,"monitor_images/company24/project46/projectsite1864/t1417385366998.jpg",NULL,1,"2014-12-01 00:09:27"
444,24,46,1864,NULL,1,"2014-12-01 00:09:26",-25.7605394,27.8526461,NULL,"monitor_images/company24/project46/projectsite1864/f1417385367232.jpg",NULL,NULL,"2014-12-01 00:09:27"
445,24,46,1945,NULL,1,"2014-12-01 00:09:48",-25.7605419,27.8526455,NULL,"monitor_images/company24/project46/projectsite1945/t1417385389070.jpg",NULL,1,"2014-12-01 00:09:49"
446,24,46,1945,NULL,1,"2014-12-01 00:09:48",-25.7605419,27.8526455,NULL,"monitor_images/company24/project46/projectsite1945/f1417385389273.jpg",NULL,NULL,"2014-12-01 00:09:49"
447,24,46,1909,NULL,1,"2014-12-01 00:10:14",-25.760538,27.8526411,NULL,"monitor_images/company24/project46/projectsite1909/t1417385415227.jpg",NULL,1,"2014-12-01 00:10:15"
448,24,46,1909,NULL,1,"2014-12-01 00:10:14",-25.760538,27.8526411,NULL,"monitor_images/company24/project46/projectsite1909/f1417385415472.jpg",NULL,NULL,"2014-12-01 00:10:15"
449,24,46,1929,NULL,1,"2014-12-01 00:11:28",-25.760538,27.8526411,NULL,"monitor_images/company24/project46/projectsite1929/t1417385489640.jpg",NULL,1,"2014-12-01 00:11:29"
450,24,46,1929,NULL,1,"2014-12-01 00:11:28",-25.760538,27.8526411,NULL,"monitor_images/company24/project46/projectsite1929/f1417385489852.jpg",NULL,NULL,"2014-12-01 00:11:29"
451,24,46,1866,NULL,1,"2014-12-01 00:12:11",-25.7605429,27.8526434,NULL,"monitor_images/company24/project46/projectsite1866/t1417385532359.jpg",NULL,1,"2014-12-01 00:12:12"
452,24,46,1866,NULL,1,"2014-12-01 00:12:11",-25.7605429,27.8526434,NULL,"monitor_images/company24/project46/projectsite1866/f1417385532646.jpg",NULL,NULL,"2014-12-01 00:12:12"
453,24,46,NULL,NULL,3,"2014-12-01 02:29:07",-25.7605437,27.8525863,NULL,"monitor_images/company24/project46/t1417393748520.jpg",NULL,1,"2014-12-01 02:29:08"
454,24,46,NULL,NULL,3,"2014-12-01 02:29:07",-25.7605437,27.8525863,NULL,"monitor_images/company24/project46/f1417393748859.jpg",NULL,NULL,"2014-12-01 02:29:09"
455,24,46,1925,NULL,1,"2014-12-01 02:29:55",-25.7605583,27.8525921,NULL,"monitor_images/company24/project46/projectsite1925/t1417393796562.jpg",NULL,1,"2014-12-01 02:29:56"
456,24,46,1925,NULL,1,"2014-12-01 02:29:55",-25.7605583,27.8525921,NULL,"monitor_images/company24/project46/projectsite1925/f1417393796763.jpg",NULL,NULL,"2014-12-01 02:29:56"
457,24,46,1925,NULL,1,"2014-12-01 02:30:24",-25.7605559,27.8525901,NULL,"monitor_images/company24/project46/projectsite1925/t1417393825830.jpg",NULL,1,"2014-12-01 02:30:25"
458,24,46,1925,NULL,1,"2014-12-01 02:30:24",-25.7605559,27.8525901,NULL,"monitor_images/company24/project46/projectsite1925/f1417393826120.jpg",NULL,NULL,"2014-12-01 02:30:26"
459,24,46,1925,NULL,1,"2014-12-01 02:31:04",-25.7605432,27.8525902,NULL,"monitor_images/company24/project46/projectsite1925/t1417393865846.jpg",NULL,1,"2014-12-01 02:31:05"
460,24,46,1925,NULL,1,"2014-12-01 02:31:04",-25.7605432,27.8525902,NULL,"monitor_images/company24/project46/projectsite1925/f1417393866201.jpg",NULL,NULL,"2014-12-01 02:31:06"
461,24,46,1921,NULL,1,"2014-12-01 11:04:08",-25.76054,27.8526474,NULL,"monitor_images/company24/project46/projectsite1921/t1417424653170.jpg",NULL,1,"2014-12-01 11:04:13"
462,24,46,1921,NULL,1,"2014-12-01 11:04:08",-25.76054,27.8526474,NULL,"monitor_images/company24/project46/projectsite1921/f1417424653593.jpg",NULL,NULL,"2014-12-01 11:04:13"
